09:00 - 09:30,Open,Open,Open,Open,Open,Open
09:30 - 09:45,Opening |doc0|,,,,,
09:45 - 10:45,`Keynote: Armin Ronacher <keynote.html#session-15-0945-room230-en>`_ |doc1| |video0|,,,,,
11:00 - 11:45,:ref:`session-15-1100-Room230-en` |video4|,:ref:`session-15-1100-Room433-en` |doc3| |video2|,:ref:`session-15-1100-Room351a-en` |doc6| |video3|,:ref:`session-15-1100-Room357-en` |doc5|,:ref:`session-15-1100-Room452-en` |doc2| |video1|,:ref:`session-15-1100-Room358-en` |doc4|
11:45 - 13:30,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
13:30 - 14:15,:ref:`session-15-1330-Room230-en` |doc10| |video9|,:ref:`session-15-1330-Room433-en` |doc8| |video6|,:ref:`session-15-1330-Room351a-en` |video8|,:ref:`session-15-1330-Room357-en` |doc9| |video7|,:ref:`session-15-1330-Room452-en` |doc7| |video5|,:ref:`session-15-1330-Room358-en`
14:30 - 15:15,":ref:`session-15-1430-Room230-en` |doc14| |video14|

14:55 :ref:`session-15-1455-Room230-en` |doc16| |video16| (till 15:20)",":ref:`session-15-1430-Room433-en` |doc11| |video11|

14:55 :ref:`session-15-1455-Room433-en` |doc15| |video15| (till 15:20)",:ref:`session-15-1430-Room351a-en` |video13|,:ref:`session-15-1430-Room357-en` |doc13| |video12|,:ref:`session-15-1430-Room452-en` |video10|,:ref:`session-15-1430-Room358-en` |doc12|
15:30 - 16:15,:ref:`session-15-1530-Room230-en` |doc19| |video21|,:ref:`session-15-1530-Room433-en` |video18|,:ref:`session-15-1530-Room351a-en` |video20|,:ref:`session-15-1530-Room357-en` |doc18| |video19|,:ref:`session-15-1530-Room452-en` |doc17| |video17|,:ref:`session-15-1530-Room358-en`
16:30 - 17:15,:ref:`session-15-1630-Room230-en` |doc23| |video25|,:ref:`session-15-1630-Room433-en` |doc21| |video23|,:ref:`session-15-1630-Room351a-en` |doc22| |video24|,:ref:`session-15-1630-Room357-en`,:ref:`session-15-1630-Room452-en` |doc20| |video22|,:ref:`session-15-1630-Room358-en`
17:30 - 18:30,:doc:`lightningtalks` |video26|,,,,,
18:30 - 18:45,closing,,,,,
